congress,chamber,icpsr,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2
110,Senate,49700,AL,200,0,1 ,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,0.549,0.13,-131.66522,0.78363,540,65,0.501,0.077
110,Senate,94659,AL,200,0,1 ,"SHELBY, Richard C.",S000320,0.431,0.535,-140.08156,0.77407,547,60,0.427,0.342
110,Senate,12109,AK,200,0,1 ,"STEVENS, Theodore Fulton (Ted)",S000888,0.219,-0.5,-160.3039,0.738,528,65,0.221,-0.218
110,Senate,40300,AK,200,0,1 ,"MURKOWSKI, Lisa",M001153,0.207,-0.288,-152.85311,0.75387,541,62,0.23,-0.363
110,Senate,15039,AZ,200,0,1 ,"McCAIN, John Sidney, III",M000303,0.381,-0.626,-42.53879,0.80754,199,17,0.442,-0.73
110,Senate,15429,AZ,200,0,1 ,"KYL, Jon Llewellyn",K000352,0.548,-0.415,-131.04299,0.78488,541,56,0.583,-0.507
110,Senate,29305,AR,100,0,1 ,"LINCOLN, Blanche Lambert",L000035,-0.166,0.178,-94.73876,0.837,534,44,-0.187,0.221
110,Senate,40301,AR,100,0,1 ,"PRYOR, Mark",P000590,-0.199,0.463,-94.81818,0.841,549,40,-0.174,0.465
110,Senate,15011,CA,100,0,1 ,"BOXER, Barbara",B000711,-0.45,-0.423,-39.20646,0.927,517,14,-0.486,-0.325
110,Senate,49300,CA,100,0,1 ,"FEINSTEIN, Dianne",F000062,-0.269,-0.21,-73.34106,0.87212,536,31,-0.254,-0.366
110,Senate,29108,CO,200,0,1 ,"ALLARD, A. Wayne",A000109,0.572,-0.121,-96.18367,0.834,531,43,0.563,-0.088
110,Senate,40500,CO,100,0,1 ,"SALAZAR, Kenneth Lee",S001163,-0.223,0.042,-77.20478,0.869,550,35,-0.202,-0.001
110,Senate,14213,CT,100,0,1 ,"DODD, Christopher John",D000388,-0.328,-0.317,-54.49703,0.877,417,23,-0.373,-0.601
110,Senate,15704,CT,100,0,1 ,"LIEBERMAN, Joseph I.",L000304,-0.205,-0.312,-156.74762,0.745,533,68,-0.133,-0.487
110,Senate,14101,DE,100,0,1 ,"BIDEN, Joseph Robinette, Jr.",B000444,-0.314,-0.042,-37.64402,0.906,383,14,-0.386,-0.163
110,Senate,15015,DE,100,0,1 ,"CARPER, Thomas Richard",C000174,-0.174,-0.219,-117.29279,0.80605,544,48,-0.166,-0.277
110,Senate,14651,FL,100,0,1 ,"NELSON, Clarence William (Bill)",N000032,-0.193,0.339,-108.26657,0.81863,541,56,-0.247,0.028
110,Senate,40501,FL,200,0,1 ,"MARTINEZ, Melquiades R. (Mel)",M001162,0.333,-0.417,-174.06121,0.726,543,88,0.344,-0.409
110,Senate,29512,GA,200,0,1 ,"CHAMBLISS, Saxby",C000286,0.423,0.205,-118.17378,0.804,541,51,0.457,0.137
110,Senate,29909,GA,200,0,1 ,"ISAKSON, Johnny",I000055,0.403,-0.014,-102.56175,0.82673,539,43,0.436,0.092
110,Senate,4812,HI,100,0,1 ,"INOUYE, Daniel Ken",I000025,-0.319,0.062,-75.92887,0.861,507,33,-0.259,0.041
110,Senate,14400,HI,100,0,1 ,"AKAKA, Daniel Kahikina",A000069,-0.419,0.273,-63.04187,0.892,549,20,-0.355,-0.028
110,Senate,14809,ID,200,0,1 ,"CRAIG, Larry Edwin",C000858,0.494,-0.014,-144.69214,0.757,519,71,0.429,-0.079
110,Senate,29345,ID,200,0,1 ,"CRAPO, Michael Dean",C000880,0.509,0.282,-120.02752,0.79836,533,63,0.459,0.248
110,Senate,15021,IL,100,0,1 ,"DURBIN, Richard Joseph",D000563,-0.363,-0.363,-38.20304,0.93266,548,12,-0.392,-0.377
110,Senate,40502,IL,100,0,1 ,"OBAMA, Barack",O000167,-0.343,-0.434,-30.80198,0.903,303,9,-0.357,-0.512
110,Senate,14506,IN,200,0,1 ,"LUGAR, Richard Green",L000504,0.304,-0.466,-184.123,0.714,546,93,0.256,-0.655
110,Senate,49901,IN,100,0,1 ,"BAYH, Evan",B001233,-0.158,-0.142,-211.47833,0.675,538,90,-0.078,-0.133
110,Senate,14226,IA,200,0,1 ,"GRASSLEY, Charles Ernest",G000386,0.343,-0.071,-190.78975,0.70733,551,101,0.332,0.026
110,Senate,14230,IA,100,0,1 ,"HARKIN, Thomas Richard (Tom)",H000206,-0.351,-0.546,-65.16713,0.886,536,28,-0.423,-0.259
110,Senate,14852,KS,200,0,1 ,"ROBERTS, Charles Patrick (Pat)",R000307,0.414,-0.094,-163.53719,0.7383,539,81,0.326,0.087
110,Senate,29523,KS,200,0,1 ,"BROWNBACK, Sam Dale",B000953,0.439,-0.306,-116.12613,0.764,431,47,0.425,-0.206
110,Senate,14921,KY,200,0,1 ,"McCONNELL, Addison Mitchell (Mitch)",M000355,0.403,0,-110.6829,0.81771,550,43,0.43,-0.033
110,Senate,15406,KY,200,0,1 ,"BUNNING, James Paul David",B001066,0.521,-0.049,-123.81319,0.793,534,62,0.546,0.087
110,Senate,29918,LA,200,0,1 ,"VITTER, David",V000127,0.495,0.323,-118.05491,0.801,532,57,0.565,0.485
110,Senate,49702,LA,100,0,1 ,"LANDRIEU, Mary L.",L000550,-0.203,0.444,-142.15312,0.767,537,61,-0.152,0.549
110,Senate,14661,ME,200,0,1 ,"SNOWE, Olympia Jean",S000663,0.091,-0.548,-176.02011,0.726,550,72,0.053,-0.438
110,Senate,49703,ME,200,0,1 ,"COLLINS, Susan Margaret",C001035,0.11,-0.556,-182.12253,0.71854,551,78,0.097,-0.646
110,Senate,14440,MD,100,0,1 ,"MIKULSKI, Barbara Ann",M000702,-0.37,-0.128,-82.3516,0.859,542,37,-0.258,-0.102
110,Senate,15408,MD,100,0,1 ,"CARDIN, Benjamin Louis",C000141,-0.326,-0.252,-46.71179,0.91829,548,15,-0.343,-0.323
110,Senate,10808,MA,100,0,1 ,"KENNEDY, Edward Moore (Ted)",K000105,-0.443,-0.49,-63.94736,0.866,443,21,-0.35,-0.608
110,Senate,14920,MA,100,0,1 ,"KERRY, John Forbes",K000148,-0.352,-0.382,-51.75039,0.907,530,18,-0.365,-0.538
110,Senate,14709,MI,100,0,1 ,"LEVIN, Carl",L000261,-0.395,-0.116,-65.56103,0.887,546,26,-0.336,-0.038
110,Senate,29732,MI,100,0,1 ,"STABENOW, Deborah Ann",S000770,-0.331,0.026,-69.83937,0.87993,546,30,-0.388,0.24
110,Senate,40302,MN,200,0,1 ,"COLEMAN, Norm",C001057,0.185,-0.125,-152.00508,0.751,531,74,0.174,-0.014
110,Senate,40700,MN,100,0,1 ,"KLOBUCHAR, Amy",K000367,-0.247,-0.162,-80.21768,0.8629,544,45,-0.3,-0.135
110,Senate,14009,MS,200,0,1 ,"COCHRAN, William Thad",C000567,0.287,0.051,-162.31258,0.74162,543,80,0.335,0.095
110,Senate,14031,MS,200,1,1 ,"LOTT, Chester Trent",L000447,0.39,0.194,-91.92665,0.762,338,45,0.437,0.091
110,Senate,29534,MS,200,2,2 ,"WICKER, Roger F.",W000437,0.377,0.361,-32.85895,0.83144,178,12,0.397,0.561
110,Senate,15501,MO,200,0,1 ,"BOND, Christopher Samuel (Kit)",B000611,0.31,-0.169,-172.26186,0.721,526,79,0.344,-0.087
110,Senate,40701,MO,100,0,1 ,"McCASKILL, Claire",M001170,-0.142,0.023,-215.75538,0.66963,538,92,-0.21,0.364
110,Senate,14203,MT,100,0,1 ,"BAUCUS, Max Sieben",B000243,-0.212,0.017,-113.29573,0.814,549,57,-0.237,0.52
110,Senate,40702,MT,100,0,1 ,"TESTER, Jon",T000464,-0.21,0.138,-122.15355,0.79888,544,61,-0.278,0.563
110,Senate,40103,NE,100,0,1 ,"NELSON, Earl Benjamin (Ben)",N000180,-0.03,0.588,-114.48679,0.81,543,42,-0.084,0.673
110,Senate,49704,NE,200,0,1 ,"HAGEL, Charles Timothy (Chuck)",H001028,0.344,-0.498,-253.94082,0.607,509,113,0.308,-0.707
110,Senate,15054,NV,100,0,1 ,"REID, Harry",R000146,-0.276,0.258,-150.55397,0.76,548,59,-0.317,0.206
110,Senate,29537,NV,200,0,1 ,"ENSIGN, John Eric",E000194,0.508,-0.464,-98.25512,0.83,528,43,0.554,-0.352
110,Senate,14826,NH,200,0,1 ,"GREGG, Judd Alan",G000445,0.429,-0.737,-144.56655,0.763,535,74,0.452,-0.837
110,Senate,29740,NH,200,0,1 ,"SUNUNU, John E.",S001078,0.473,-0.52,-197.3818,0.695,542,87,0.376,-0.592
110,Senate,14914,NJ,100,0,1 ,"LAUTENBERG, Frank Raleigh",L000123,-0.382,-0.579,-40.59802,0.928,541,13,-0.421,-0.508
110,Senate,29373,NJ,100,0,1 ,"MENENDEZ, Robert",M000639,-0.364,-0.118,-56.22176,0.90181,544,24,-0.423,-0.576
110,Senate,14103,NM,200,0,1 ,"DOMENICI, Pete Vichi",D000407,0.257,-0.247,-156.72318,0.74,520,71,0.264,-0.306
110,Senate,14912,NM,100,0,1 ,"BINGAMAN, Jesse Francis, Jr. (Jeff)",B000468,-0.266,0.045,-70.65731,0.878,544,33,-0.366,0.066
110,Senate,14858,NY,100,0,1 ,"SCHUMER, Charles Ellis (Chuck)",S000148,-0.351,-0.391,-44.95511,0.9204,542,16,-0.369,-0.474
110,Senate,40105,NY,100,0,1 ,"CLINTON, Hillary Rodham",C001041,-0.367,-0.243,-32.82782,0.917,378,12,-0.393,-0.387
110,Senate,29548,NC,200,0,1 ,"BURR, Richard M.",B001135,0.453,-0.058,-117.22791,0.80356,536,54,0.517,-0.19
110,Senate,40303,NC,200,0,1 ,"DOLE, Elizabeth Hanford",D000601,0.363,0.124,-158.24045,0.739,524,72,0.352,0.112
110,Senate,14812,ND,100,0,1 ,"DORGAN, Byron Leslie",D000432,-0.267,0.09,-114.09598,0.81,541,54,-0.308,0.633
110,Senate,15502,ND,100,0,1 ,"CONRAD, Kent",C000705,-0.296,0.582,-89.37574,0.848,542,33,-0.28,0.51
110,Senate,29389,OH,100,0,1 ,"BROWN, Sherrod",B000944,-0.438,-0.136,-46.24398,0.91822,542,18,-0.46,-0.101
110,Senate,49903,OH,200,0,1 ,"VOINOVICH, George Victor",V000126,0.239,-0.803,-294.43741,0.581,543,147,0.24,-0.846
110,Senate,15424,OK,200,0,1 ,"INHOFE, James Mountain",I000024,0.552,0.04,-100.85874,0.82521,525,44,0.7,0.425
110,Senate,29555,OK,200,0,1 ,"COBURN, Thomas Allen",C000560,0.782,0.055,-81.13222,0.852,508,38,0.808,-0.055
110,Senate,14871,OR,100,0,1 ,"WYDEN, Ronald Lee",W000779,-0.321,-0.433,-70.26238,0.87799,540,27,-0.323,-0.327
110,Senate,49705,OR,200,0,1 ,"SMITH, Gordon Harold",S001142,0.192,-0.21,-207.12565,0.685,547,102,0.134,-0.139
110,Senate,14910,PA,200,0,1 ,"SPECTER, Arlen",S000709,0.068,-0.627,-199.23388,0.693,543,100,0.122,-0.551
110,Senate,40703,PA,100,0,1 ,"CASEY, Robert (Bob), Jr.",C001070,-0.304,0.193,-83.44539,0.85947,551,29,-0.292,0.12
110,Senate,29142,RI,100,0,1 ,"REED, John F. (Jack)",R000122,-0.38,-0.226,-66.29994,0.88605,548,29,-0.367,-0.32
110,Senate,40704,RI,100,0,1 ,"WHITEHOUSE, Sheldon",W000802,-0.397,-0.196,-63.12782,0.89138,549,27,-0.382,-0.438
110,Senate,29566,SC,200,0,1 ,"GRAHAM, Lindsey O.",G000359,0.408,-0.173,-145.74607,0.7531,514,65,0.47,-0.262
110,Senate,29936,SC,200,0,1 ,"DeMINT, James W.",D000595,0.7,-0.102,-62.35449,0.89,534,25,0.82,-0.07
110,Senate,15425,SD,100,0,1 ,"JOHNSON, Timothy Peter (Tim)",J000177,-0.25,0.143,-45.92208,0.859,301,22,-0.204,0.384
110,Senate,29754,SD,200,0,1 ,"THUNE, John",T000250,0.41,0.128,-126.57515,0.79376,548,57,0.431,0.172
110,Senate,40304,TN,200,0,1 ,"ALEXANDER, Lamar",A000360,0.323,-0.182,-143.68018,0.76176,528,64,0.339,-0.192
110,Senate,40705,TN,200,0,1 ,"CORKER, Robert (Bob)",C001071,0.395,-0.345,-186.47456,0.70844,541,90,0.372,-0.201
110,Senate,40305,TX,200,0,1 ,"CORNYN, John",C001056,0.495,-0.014,-103.15948,0.82283,529,41,0.487,0.058
110,Senate,49306,TX,200,0,1 ,"HUTCHISON, Kathryn Ann Bailey (Kay)",H001016,0.356,0.012,-128.85742,0.789,543,56,0.36,0.097
110,Senate,14503,UT,200,0,1 ,"HATCH, Orrin Grant",H000338,0.382,-0.005,-164.11772,0.73792,540,73,0.333,-0.008
110,Senate,49307,UT,200,0,1 ,"BENNETT, Robert",B000382,0.331,-0.11,-159.60927,0.746,544,77,0.351,-0.31
110,Senate,14307,VT,100,0,1 ,"LEAHY, Patrick Joseph",L000174,-0.37,-0.135,-72.03666,0.87682,548,31,-0.416,-0.079
110,Senate,29147,VT,328,0,1 ,"SANDERS, Bernard",S000033,-0.52,-0.361,-70.10982,0.8797,547,34,-0.599,0.07
110,Senate,14712,VA,200,0,1 ,"WARNER, John William",W000154,0.262,-0.131,-148.75207,0.744,503,69,0.252,-0.318
